,0
0,POINT (59.7557082654018 -140.83322058712292)
1,POINT (59.764169298937276 -140.82725947486026)
2,POINT (59.772630049737224 -140.82129534309652)
3,POINT (59.781090517529435 -140.81532818926405)
4,POINT (59.78955070204145 -140.80935801079252)
5,POINT (59.79801060300056 -140.80338480510898)
6,POINT (59.806470220133775 -140.79740856963792)
7,POINT (59.814929553167836 -140.79142930180123)
8,POINT (59.823388601829194 -140.78544699901812)
9,POINT (59.831847365844084 -140.77946165870523)
10,POINT (59.84030584493843 -140.77347327827658)
11,POINT (59.84876403883787 -140.76748185514361)
12,POINT (59.85722194726787 -140.76148738671503)
13,POINT (59.865679569953485 -140.75548987039704)
14,POINT (59.87367056923608 -140.74751220082987)
15,POINT (59.88139675728968 -140.73841025704505)
16,POINT (59.88912230444336 -140.72930408502404)
17,POINT (59.89684721011538 -140.72019368173068)
18,POINT (59.904571473723436 -140.71107904412656)
19,POINT (59.912295094684815 -140.7019601691711)
20,POINT (59.92001807241623 -140.6928370538213)
21,POINT (59.92774040633396 -140.68370969503192)
22,POINT (59.93546209585381 -140.6745780897555)
23,POINT (59.94318314039105 -140.66544223494228)
24,POINT (59.95090353936048 -140.65630212754021)
25,POINT (59.95862329217645 -140.64715776449495)
26,POINT (59.96634239825277 -140.63800914274992)
27,POINT (59.97406085700275 -140.62885625924625)
28,POINT (59.98134084906636 -140.61840544374667)
29,POINT (59.988480812924244 -140.60753882713422)
30,POINT (59.995619869850664 -140.5966675263566)
31,POINT (60.00275801907895 -140.58579153856945)
32,POINT (60.00989525984179 -140.57491086092705)
33,POINT (60.01703159137142 -140.56402549058222)
34,POINT (60.02416701289946 -140.55313542468642)
35,POINT (60.03130152365699 -140.5422406603898)
36,POINT (60.03843512287459 -140.53134119484102)
37,POINT (60.04556780978219 -140.52043702518745)
38,POINT (60.05269958360928 -140.50952814857501)
39,POINT (60.059830443584715 -140.49861456214825)
40,POINT (60.06696038893682 -140.48769626305034)
41,POINT (60.074089418893415 -140.4767732484231)
42,POINT (60.08121753268167 -140.46584551540684)
